NOM_PRODUIT,CATEGORIE,P_UNITAIRE
Saucisson à l'anis,Charcuterie,1400
Pâté de lapin aux noix,Charcuterie,1800
Sachet de sel,Condiment,500
Terrine de faisan aux morilles,Charcuterie,1700
Baume après-rasage hydratant Nivea,Produits de rasage,700
Sachet de sel,Condiment,500
Baume à cuticules Sally Hansen,Produits de soin pour les ongles,1000
Sachet de thé Lipton,Thé,500
Déodorant stick Narta,Produits d'hygiène,800
Saucisse de Morteau,Charcuterie,1600
Soin hydratant intense pour le visage Nivea,Produits de soin pour le visage,2500
Bouteille de Jack Daniel,Liqueur,5000
Andouille,Charcuterie,1600
Paquet de riz complet,Alimentation,1500
Déodorant spray fraîcheur instantanée Nivea,Produits d'hygiène,800
Boîte de mouchoirs en papier Kleenex,Hygiène,1000
Pâté de cerf,Charcuterie,1800
Démaquillant yeux waterproof Garnier,Produits de démaquillage,1200
Sac de riz Basmati,Alimentation,4000
Petite bouteille de Coca-Cola,Boisson,500
Soin anti-fatigue pour le visage Nivea,Produits de soin pour le visage,2500
Coppa,Charcuterie,1600
Bouteille de shampoing Head & Shoulders,Hygiène,1500
Saucisson à l'ail,Charcuterie,1300
Terrine de perdreau,Charcuterie,1700
Crème de nuit régénérante L'Oréal,Produits de soin pour le visage,1200
Sérum hydratant Vichy,Produits de soin pour le visage,3000
Déodorant Rexona,Produits d'hygiène,800
Sérum hydratant Vichy,Produits de soin pour le visage,3000
Pâté de sanglier,Charcuterie,1800
Saucisson au genièvre,Charcuterie,1400
Sac de croquettes pour chien Pedigree,Animaux,2000
Bouteille de sauce soja,Condiment,1000
Gel coiffant effet mouillé Schwarzkopf,Produits de coiffure,1500
Sachet de sucre vanillé,Sucrerie,500
Dentifrice blanchissant Colgate,Produits d'hygiène dentaire,500
Boudin noir,Charcuterie,1500
Paquet de chips Lay's,Snack,750
Shampooing réparateur Elsève,Produits de soin capillaire,1500
Rillettes de poisson,Charcuterie,1300
Sachet de sucre Daddy,Sucrerie,500
Sachet de piment en poudre,Condiment,500
Andouille,Charcuterie,1600
Gel douche exfoliant Nivea,Produits de douche,1200
Petite bouteille de Coca-Cola,Boisson,500
Saucisse au poivre,Charcuterie,1600
Sachet de pâtes de curry rouge,Condiment,750
Crème anti-rides Nivea,Produits de soin pour le visage,2500
Pâté de marcassin aux airelles,Charcuterie,1800
Rillettes de canard,Charcuterie,1400
